molecule_smiles,n,errors,error_rate,pos_rate
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cc(OC)cc(OC)c2)n1,2,2,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCc2ccccc2CN2CCCC2=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCc2cnccc2OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCc2nc3c(s2)CCCCC3)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cc(=O)[nH]c(=S)[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cc(-c3ccc(Cl)cc3)sc2C(=O)OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2[nH]nc(C)c2C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2c(C#N)cnn2-c2ccccc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccc(C)cc2CO)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(NC[C@@H]2CCO[C@@H]2c2nc(C3CC3)no2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(NCC2(O)CCSC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2cc(C(F)(F)F)cnc2Cl)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(NCC(C)(O)CN2CCOCC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2nnc(C)s2)n1,2,2,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2cc[nH]n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccc(Br)c(F)n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccc(Br)nc2OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2nnc(S)s2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(CSC)[nH]2)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(SC)s2)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2cc(C(C)(C)C)ccc2O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(-c3cccc(Br)c3)no2)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(-c3ccccc3)[nH]n2)nc(Nc2ccc(C(C)=O)cc2F)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2cc[nH]n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(=O)[nH]c(=O)[nH]2)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2cc(Cl)c(O)c(Cl)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2cc(C)cc(Cl)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2cc(C)[nH]n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C(C)(C)C)ccc2O)nc(Nc2[nH]c(=O)ncc2F)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(SC)s2)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C(C)(C)C)ccc2O)nc(Nc2c(C(=O)OC)cc(Cl)nc2Cl)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(NCC2CCC(C(=O)N(C)C)O2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C(C)(C)C)ccc2O)nc(Nc2cc(C)sc2C(=O)OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(NCC2(O)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(NCC2(N(C)C)CCSC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C(C)(C)C)ccc2O)nc(Nc2n[nH]c3ccc([N+](=O)[O-])cc23)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C(C)(C)C)ccc2O)nc(Nc2n[nH]cc2C(=O)OCC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(NCC(C)OC(C)(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2ccc3c(c2)oc2ccccc23)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2ccccc2-c2nnn[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2ccsc2C(=O)OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2cncc(OC)n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OCC=C)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc3ccc(OC)nn23)nc(NCC(C)(C)CCC#N)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OCC=C)nc(Nc2cc[nH]c(=O)c2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OCC=C)nc(Nc2cc(C3CC3)[nH]n2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc3ncccn23)nc(NCC(C)(C)CCS(C)(=O)=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc3ncccn23)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2noc3c2COCC3)nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OCC=C)nc(NCC(C)OC(C)(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2nnc(Cl)cc2C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2noc3ccc(F)cc23)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nocc2C)nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2nc3ccc(Cl)cc3s2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2nc(OC)ccc2[N+](=O)[O-])n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2nc(C)c(C(=O)OCC)s2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2sccc2C)nc(Nc2cccc(C(C)=O)c2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2nc(C(=O)OCC)co2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OC(C)(C)C)nc(Nc2csc(C(=O)OC)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCc2cc(OC)ncc2Br)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NC[C@H]2CC(=O)N(CC)[C@@H]2c2ccncc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C(C)(C)C)ccc2O)nc(Nc2sccc2C#N)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(c2cccs2)N2CCOCC2)nc(NCC(C)(C)C(=O)N2CCCC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncc(C)s2)nc(NCc2ncoc2C(C)(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(CS(C)(=O)=O)CCOCC2)nc(Nc2ccc(C(C)=O)cc2F)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(CO)CCOC2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncccc2F)nc(Nc2n[nH]c3c2CN(C(=O)OC(C)(C)C)C3(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncccc2N(C)C)nc(NCC(C)(C)CCC#N)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncccc2N(C)C)nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nccn2-c2ccccc2)nc(NCC(C)(C)CCS(C)(=O)=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(c2cccs2)N2CCOCC2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(NCC(C)Oc2ccc(Cl)cc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncc(C)o2)nc(Nc2ccc(C(C)=O)cc2F)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(NCC(O)COc2cccc(Cl)c2Cl)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(NCC2(C)CCC3(CC2)OCCO3)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(NCC2(Cc3ccccc3)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(OC)C2CCOC2)nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(OC)C2CCCOC2)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(OC)C2CCCOC2)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(NC[C@@H]2CCO[C@@H]2c2nc(C3CC3)no2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(O)c2ccncc2)nc(NCC(C)(C)CCC#N)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(N3CCOCC3)CC2)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncc(C)o2)nc(NCc2ncoc2C(C)(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NC[C@@H]2C[C@@H]3C=C[C@H]2C3)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3c(=O)[nH]2)nc(NCC(C)Oc2ccc(Cl)cc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CCC3)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2C=CCC2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CCCC3)nc(NCC(C)(C)CCC#N)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CCCC3)nc(NCC(C)OC(C)(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CCCC3)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CCCCC3)nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC23CC=CC(C2)OC3)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3c(=O)[nH]2)nc(NCC(C)OC(C)(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3c(=O)[nH]2)nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncc(C)o2)nc(NCC(C)(C)C(=O)N2CCCC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3c(=O)[nH]2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,1,1,1.0,0.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3c(=O)[nH]2)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3o2)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(OCCO)CCS(=O)(=O)C2)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3s2)nc(NCC(C)(C)CCS(C)(=O)=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3ccccc3s2)nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(OC)CCC2)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3cnccc3s2)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(NCc2snnc2C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(Nc2c(C(=O)OC)cc(Cl)nc2Cl)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(O)CS(C)=O)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2ccccc2CN2CCN(C)CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nn(C)cc2C(F)F)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCC(C)Cn2cccn2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cscc2C(=O)OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cnc(OC)nc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2ccsc2C(=O)OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCC2(CO)CC=CC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2ccnc(Cl)n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2ccn(C)n2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cccc3c(=O)cc(-c4nn[nH]n4)oc23)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(Nc2cc(F)ccn2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCC2(c3ccc(Cl)cc3Cl)CCCC2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCC23CCC(C)(CO2)C3)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cccc(C(C)=O)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCC2CC(C)(C)OC2(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2cccc(C#C)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(NCC2CCC3(CC3)CN2C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2ccc(F)c([N+](=O)[O-])c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2nc3ccccc3o2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)nc(Nc2nc3nc[nH]c3c(=O)[nH]2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nn(C)cc2C(F)F)nc(NCC(C)S(=O)(=O)N2CCN(c3ccccc3)CC2)n1,1,1,1.0,1.0
