id,protein_name,binds,y_pred,proba_pos,molecule_smiles,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles
15538,HSA,0,1,0.54,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(=O)NCC=C)nc(Nc2n[nH]c3c(F)c(F)ccc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCNC(=O)CN.Cl,Nc1n[nH]c2c(F)c(F)ccc12
6916,HSA,0,1,0.52,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nn(C)cc2C(F)F)nc(Nc2cccc(C#C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1cccc(N)c1,Cn1cc(C(F)F)c(CN)n1
17532,BRD4,0,1,0.5,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCOCC=C)nc(Nc2ccc3ncccc3c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCOCCCN,Nc1ccc2ncccc2c1
23774,sEH,0,1,0.53,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCSC(C)=O)nc(Nc2cccc(C#N)n2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)SCCN.Cl,N#Cc1cccc(N)n1
48724,HSA,0,0,0.49,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(CC3COC(=O)N3)cc2)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Nc1ccc(CC2COC(=O)N2)cc1
49960,HSA,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)nc(Nc2ccc(CN3CCN(CC)CC3)cn2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1,CCN1CCN(Cc2ccc(N)nc2)CC1
30814,HSA,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)nc(Nc2cccc(C#N)n2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)NS(=O)(=O)c1cccc(N)c1,N#Cc1cccc(N)n1
44193,BRD4,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(C)CCC#N)nc(Nc2ccc([N+](=O)[O-])c(Br)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCC#N,Nc1ccc([N+](=O)[O-])c(Br)c1
40016,sEH,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncc(C)o2)nc(NCc2ncoc2C(C)(C)C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1ocnc1CN.Cl,Cc1cnc(CN)o1.Cl
39364,HSA,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2n[nH]c3ncccc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1nnc(CN)s1.Cl,Nc1n[nH]c2ncccc12
40648,HSA,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(Nc2ccc3nsnc3c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1ocnc1CN.Cl,Nc1ccc2nsnc2c1
45190,HSA,0,0,0.49,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nccn2-c2ccccc2)nc(NCC(C)(C)CCS(C)(=O)=O)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCS(C)(=O)=O.Cl,Cl.Cl.NCc1nccn1-c1ccccc1
5803,HSA,0,1,0.51,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C#C)cc2)nc(Nc2noc3ccc(F)cc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,Nc1noc2ccc(F)cc12
42521,sEH,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(C)CCC#N)nc(NCC(C)(O)c2ccsc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCC#N,CC(O)(CN)c1ccsc1
56383,HSA,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnccc2OC)nc(NCC(C)Oc2ccc(Cl)cc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CN)Oc1ccc(Cl)cc1,COc1ccncc1CN
6036,BRD4,0,1,0.55,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCN(C)C2CCOCC2)nc(Nc2cccc(C#C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1cccc(N)c1,CN(CCN)C1CCOCC1
36204,BRD4,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(OCc3ccccc3)c2)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)n1ncc2cc(N)ccc21,Nc1cccc(OCc2ccccc2)c1
34097,sEH,0,0,0.49,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(=O)n(C)c(=O)[nH]2)nc(Nc2n[nH]c3c2CN(C(=O)OC(C)(C)C)C3(C)C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C,Cn1c(=O)cc(N)[nH]c1=O
5563,HSA,0,1,0.51,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C#C)cc2)nc(Nc2ccnc(-c3ccccc3)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,Nc1ccnc(-c2ccccc2)c1
35077,HSA,0,0,0.46,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(S(C)(=O)=O)c2)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)n1ncc2cc(N)ccc21,CS(=O)(=O)c1cccc(N)c1
51606,BRD4,0,0,0.46,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)nc(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1,Nc1ccc(C(=O)N2CCOCC2)cc1
45956,sEH,0,0,0.42,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(C)CCS(C)(=O)=O)nc(Nc2nccc(=O)[nH]2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCS(C)(=O)=O.Cl,Nc1nccc(=O)[nH]1
55207,HSA,0,0,0.4,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCc2nc3c(n2Cc2nccn2C)CCCC3)nc(NCC(C)OC(C)(C)C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CN)OC(C)(C)C.Cl,Cl.Cl.Cn1ccnc1Cn1c(CCCN)nc2c1CCCC2
46125,BRD4,0,0,0.49,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)nc(Nc2ncnc(Cl)c2OC)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,COc1c(N)ncnc1Cl
11878,HSA,0,1,0.56,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(=C)Cl)nc(NCc2ccnn2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C(Cl)CN.Cl,Cn1nccc1CN
6010,HSA,0,1,0.56,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(C#C)c2)nc(Nc2cn(CC)nc2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1cccc(N)c1,CCn1cc(N)c(C)n1
28375,HSA,0,1,0.55,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnc(OC)cn2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C#N)c1ccc(N)cc1,COc1cnc(CN)cn1.Cl.Cl
14355,BRD4,0,1,0.59,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC(=C)CC2)nc(Nc2ncc[nH]c2=O)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C1CCC(CN)CC1.Cl,Nc1ncc[nH]c1=O
47549,sEH,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(Cl)c([N+](=O)[O-])cc2C)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Cc1cc([N+](=O)[O-])c(Cl)cc1N
45062,sEH,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(C)CCS(C)(=O)=O)nc(Nc2ncc(C)s2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCS(C)(=O)=O.Cl,Cc1cnc(N)s1
52225,HSA,0,0,0.4,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC(C)S(C)=O)nc(NCc2cc(C)oc2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CCN)S(C)=O,Cc1cc(CN)c(C)o1
2141,sEH,1,1,0.53,C#CCOc1cccc(CNc2nc(NCc3ccc4[nH]c(C)cc4c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)c1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1cccc(CN)c1.Cl,Cc1cc2cc(CN)ccc2[nH]1
8241,BRD4,0,1,0.53,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCNC(=O)C(=C)C)nc(Nc2cc[nH]c(=O)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C(C)C(=O)NCCN.Cl,Nc1cc[nH]c(=O)c1
19682,sEH,0,1,0.55,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCSCC=C)nc(Nc2ccn(C)n2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCSCCN,Cn1ccc(N)n1
31409,sEH,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCNC(=O)C(=C)C)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)N1CCN(c2ccccc2N)CC1,C=C(C)C(=O)NCCN.Cl
16357,HSA,0,1,0.59,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)OCC=C)nc(Nc2ccc3c(c2)OCO3)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCOC(C)CN,Nc1ccc2c(c1)OCO2
46393,HSA,0,0,0.47,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCN(c3ccncc3)CC2)nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,NCC1CCN(c2ccncc2)CC1
41096,sEH,0,0,0.47,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(C)C(=O)N2CCCC2)nc(Nc2nc3ccc(C(=O)OC)cc3s2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)C(=O)N1CCCC1,COC(=O)c1ccc2nc(N)sc2c1
53877,BRD4,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2noc3ccc(F)cc23)nc(NCC(C)N2CCC2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CN)N1CCC1,Cl.NCc1noc2ccc(F)cc12
6383,sEH,0,1,0.58,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(C)cc(Cl)c2)nc(Nc2cccc(C#C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1cccc(N)c1,Cc1cc(N)cc(Cl)c1
40787,sEH,0,0,0.45,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(Nc2nc3nc[nH]c3c(=O)[nH]2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1ocnc1CN.Cl,Nc1nc2nc[nH]c2c(=O)[nH]1
5125,HSA,0,1,0.51,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NC[C@]2(CO)COC[C@H]3CCCN32)nc(Nc2ccc(C#C)cc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,NC[C@]1(CO)COC[C@H]2CCCN21
35880,BRD4,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCc2ncc(Br)s2)nc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)n1ncc2cc(N)ccc21,NCCc1ncc(Br)s1
47709,BRD4,0,0,0.49,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccnc2C)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Cc1ncccc1N
9730,HSA,0,1,0.52,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCOCC(=C)C)nc(NCc2cscc2C(F)(F)F)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C(C)COCCN.Cl,Cl.NCc1cscc1C(F)(F)F
59640,BRD4,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)S(C)=O)nc(Nc2cc(CC)[nH]n2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CN)S(C)=O,CCc1cc(N)n[nH]1
14366,sEH,0,1,0.54,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC(=C)CC2)nc(Nc2nccc(Cl)n2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C1CCC(CN)CC1.Cl,Nc1nccc(Cl)n1
7568,sEH,0,1,0.51,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(C#C)c2)nc(Nc2nc3ccccc3[nH]2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1cccc(N)c1,Nc1nc2ccccc2[nH]1
4032,BRD4,0,1,0.5,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C#C)cc2)nc(Nc2nc(Cl)nc3cc(OC)c(OC)cc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,COc1cc2nc(Cl)nc(N)c2cc1OC
26364,BRD4,0,1,0.53,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(C(C)=O)c2)nc(Nc2cnc(OC)cc2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)c1cccc(N)c1,COc1cc(C)c(N)cn1
26153,sEH,0,1,0.51,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(C(C)=O)c2)nc(Nc2nc(C)c(C(=O)OCC)s2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)c1cccc(N)c1,CCOC(=O)c1sc(N)nc1C
19649,sEH,0,1,0.52,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCSCC=C)nc(NCc2nnc3ncccn23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCSCCN,Cl.NCc1nnc2ncccn12
13215,BRD4,0,1,0.53,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC(=C)CC2)nc(Nc2cc(Cl)c(C)cc2[N+](=O)[O-])n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C1CCC(CN)CC1.Cl,Cc1cc([N+](=O)[O-])c(N)cc1Cl
24983,sEH,0,1,0.52,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncc(C)o2)nc(Nc2ccc(C(C)=O)cc2F)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)c1ccc(N)c(F)c1,Cc1cnc(CN)o1.Cl
3804,BRD4,0,1,0.52,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCN(C)C2CCOCC2)nc(Nc2ccc(C#C)cc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,CN(CCN)C1CCOCC1
42958,HSA,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnc(OC)cn2)nc(NCC(C)(C)CCC#N)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCC#N,COc1cnc(CN)cn1.Cl.Cl
39639,BRD4,0,0,0.47,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(Nc2c(C(=O)OCC)cnn2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1ocnc1CN.Cl,CCOC(=O)c1cnn(C)c1N
13688,sEH,0,1,0.54,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC(=C)CC2)nc(Nc2cc(=O)n(C)c(=O)n2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C1CCC(CN)CC1.Cl,Cn1c(N)cc(=O)n(C)c1=O
2574,BRD4,0,1,0.56,C#CCOc1cccc(CNc2nc(NCCc3ccno3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)c1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1cccc(CN)c1.Cl,Cl.NCCc1ccno1
998,sEH,0,1,0.54,C#CCOc1ccc(CNc2nc(NCc3cc(C(F)F)on3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,NCc1cc(C(F)F)on1
32909,sEH,0,0,0.47,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC3CC3C2)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)N1CCN(c2ccccc2N)CC1,NCC1CCC2CC2C1
27548,sEH,0,1,0.55,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(C(C)=O)c2)nc(Nc2ccc3c(c2)CC(=O)N3)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)c1cccc(N)c1,Nc1ccc2c(c1)CC(=O)N2
31252,HSA,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)nc(Nc2n[nH]c3c(F)c(F)ccc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)NS(=O)(=O)c1cccc(N)c1,Nc1n[nH]c2c(F)c(F)ccc12
38312,sEH,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2[nH]nc(C)c2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1nnc(CN)s1.Cl,Cc1n[nH]c(N)c1C
51856,HSA,0,0,0.4,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)nc(Nc2nc(-c3ccc(Cl)cc3)cs2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1,Nc1nc(-c2ccc(Cl)cc2)cs1
5148,BRD4,0,1,0.55,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccc(N3CCOCC3)cc2C(F)(F)F)nc(Nc2ccc(C#C)cc2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,NCc1ccc(N2CCOCC2)cc1C(F)(F)F
