id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name,binds
184893586,O=C(Nc1ccc(C(=O)O)c(Cl)c1)OCC1c2ccccc2-c2ccccc21,NCCCCN1CCCC1,CCc1cc(N)n[nH]1,CCc1cc(Nc2nc(NCCCCN3CCCC3)nc(Nc3ccc(C(=O)N[Dy])c(Cl)c3)n2)n[nH]1,HSA,1
274410089,O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(F)cc1,Nc1ccc2c(c1)CCC2=O,CC(C)(CN)CCC#N,CC(C)(CCC#N)CNc1nc(Nc2ccc3c(c2)CCC3=O)nc(N[C@@H](CC(=O)N[Dy])c2ccc(F)cc2)n1,sEH,0
32466911,COc1cc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c(OC)c1,Nc1cc(N2CCCC2)ccn1,CCOC(=O)c1c[nH]nc1N,CCOC(=O)c1c[nH]nc1Nc1nc(Nc2cc(N3CCCC3)ccn2)nc(Nc2cc(OC)cc(OC)c2C(=O)N[Dy])n1,sEH,1
207477775,O=C(Nc1cccc(-c2cccc(C(=O)O)c2)c1O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCCN1CCS(=O)CC1,Cc1ccsc1CN,Cc1ccsc1CNc1nc(NCCN2CCS(=O)CC2)nc(Nc2cccc(-c3cccc(C(=O)N[Dy])c3)c2O)n1,HSA,1
19459761,CC(OC(C)(C)C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,Nc1ccc([N+](=O)[O-])c(Br)c1,NCc1sncc1Br,CC(OC(C)(C)C)C(Nc1nc(NCc2sncc2Br)nc(Nc2ccc([N+](=O)[O-])c(Br)c2)n1)C(=O)N[Dy],BRD4,0
468154,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCC1CCN(CC(F)F)CC1,CCOC(=O)c1nnc(N)o1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCN(CC(F)F)CC2)nc(Nc2nnc(C(=O)OCC)o2)n1,HSA,1
15574268,CC(C)(C)OC(=O)N1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C(=O)O)C1,CSSCCN.Cl,NCc1ccc(NC(=O)c2ccco2)cc1,CSSCCNc1nc(NCc2ccc(NC(=O)c3ccco3)cc2)nc(N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]2C(=O)N[Dy])n1,sEH,1
206716081,O=C(Nc1ccc2cc(C(=O)O)ccc2c1)OCC1c2ccccc2-c2ccccc21,NCc1cc(=O)c(O)co1,Cc1cnc(CN)o1.Cl,Cc1cnc(CNc2nc(NCc3cc(=O)c(O)co3)nc(Nc3ccc4cc(C(=O)N[Dy])ccc4c3)n2)o1,HSA,1
201279850,O=C(Nc1ccc(F)c(C(=O)O)c1F)OCC1c2ccccc2-c2ccccc21,NCc1cccc2c1OCO2,Cc1cc2cc(CN)ccc2[nH]1,Cc1cc2cc(CNc3nc(NCc4cccc5c4OCO5)nc(Nc4ccc(F)c(C(=O)N[Dy])c4F)n3)ccc2[nH]1,HSA,0
137587804,O=C(Nc1c(C(=O)O)ccc(Br)c1F)OCC1c2ccccc2-c2ccccc21,CS(=O)CCCCN,Nc1cncc(F)c1,CS(=O)CCCCNc1nc(Nc2cncc(F)c2)nc(Nc2c(C(=O)N[Dy])ccc(Br)c2F)n1,HSA,0
216901820,O=C(Nc1cccnc1C(=O)O)OCC1c2ccccc2-c2ccccc21,CCC(CN)Oc1ccccc1C.Cl,CSSCCN.Cl,CCC(CNc1nc(NCCSSC)nc(Nc2cccnc2C(=O)N[Dy])n1)Oc1ccccc1C,sEH,1
252255437,O=C(O)C[C@@H](Cc1cccc(F)c1)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCCC1CCCC1(F)F,Cl.NCC1CCC2(CCC2)CO1,O=C(C[C@@H](Cc1cccc(F)c1)Nc1nc(NCCC2CCCC2(F)F)nc(NCC2CCC3(CCC3)CO2)n1)N[Dy],sEH,1
66416305,N#Cc1ccc(C[C@H](CC(=O)O)NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,Nc1nc(F)cc(F)n1,COc1nc(C)nc(N)n1,COc1nc(C)nc(Nc2nc(Nc3nc(F)cc(F)n3)nc(N[C@@H](CC(=O)N[Dy])Cc3ccc(C#N)cc3)n2)n1,HSA,1
195390582,O=C(Nc1ccc(C(=O)O)nc1)OCC1c2ccccc2-c2ccccc21,Cc1cc(N)ncc1Cl,Cc1cnc(CN)s1,Cc1cnc(CNc2nc(Nc3ccc(C(=O)N[Dy])nc3)nc(Nc3cc(C)c(Cl)cn3)n2)s1,BRD4,1
124005138,O=C(N[C@H](Cc1ccc(F)c(F)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Cl)nc1,Nc1nc2cc([N+](=O)[O-])ccc2[nH]1,O=C(N[Dy])[C@@H](Cc1ccc(F)c(F)c1)Nc1nc(Nc2ccc(Cl)nc2)nc(Nc2nc3cc([N+](=O)[O-])ccc3[nH]2)n1,BRD4,1
137077543,O=C(Nc1c(C(=O)O)cc(Cl)c(Br)c1F)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Cl)cn1,COC(=O)c1cncc(N)c1,COC(=O)c1cncc(Nc2nc(Nc3ccc(Cl)cn3)nc(Nc3c(C(=O)N[Dy])cc(Cl)c(Br)c3F)n2)c1,HSA,0
117201557,O=C(N[C@H](CCC1CCCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21,Cl.NC[C@@H]1C[C@@H]2O[C@H]1[C@H]1C[C@H]12,COC(=O)c1sc(C)cc1N,COC(=O)c1sc(C)cc1Nc1nc(NC[C@@H]2C[C@@H]3O[C@H]2[C@H]2C[C@H]23)nc(N[C@H](CCC2CCCCC2)C(=O)N[Dy])n1,sEH,0
74653789,O=C(NC(Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,Cl.NCC1CCCC1,CCOC(=O)c1sc(N)nc1C,CCOC(=O)c1sc(Nc2nc(NCC3CCCC3)nc(NC(Cc3ccccc3)C(=O)N[Dy])n2)nc1C,HSA,0
104424436,O=C(N[C@@H](Cc1cccnc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(N2CCOCC2)cc1,NCc1ccc(NC(=O)c2ccco2)cc1,O=C(Nc1ccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)nc(N[C@@H](Cc3cccnc3)C(=O)N[Dy])n2)cc1)c1ccco1,HSA,1
148597675,O=C(Nc1c(F)cc(Br)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21,Cc1nc(Cl)ccc1N,NCc1ccsc1,Cc1nc(Cl)ccc1Nc1nc(NCc2ccsc2)nc(Nc2c(F)cc(Br)cc2C(=O)N[Dy])n1,HSA,1
83045474,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21,COc1cc(N)ccn1,CC(=O)SCCN.Cl,COc1cc(Nc2nc(NCCSC(C)=O)nc(NC[C@H]3CC[C@H](C(=O)N[Dy])CC3)n2)ccn1,sEH,0
180086628,O=C(Nc1ccc(Br)c(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21,CSc1ccc(CN)cc1C#N.Cl,COc1ccc(CN)c(C)c1OC,COc1ccc(CNc2nc(NCc3ccc(SC)c(C#N)c3)nc(Nc3ccc(Br)c(C(=O)N[Dy])c3)n2)c(C)c1OC,BRD4,1
284714127,O=C(O)[C@@H]1Cc2ccc(O)cc2CN1C(=O)OCC1c2ccccc2-c2ccccc21,Cc1cc(N)ccc1Cl,Cc1nc(N)ccc1[N+](=O)[O-],Cc1cc(Nc2nc(Nc3ccc([N+](=O)[O-])c(C)n3)nc(N3Cc4cc(O)ccc4C[C@H]3C(=O)N[Dy])n2)ccc1Cl,BRD4,0
219728256,O=C(Nc1cnc(Cl)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21,NCC1(O)CCCC1,Nc1cc(Cl)c(O)c(Cl)c1,O=C(N[Dy])c1cc(Cl)ncc1Nc1nc(NCC2(O)CCCC2)nc(Nc2cc(Cl)c(O)c(Cl)c2)n1,BRD4,1
68057687,N#Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1,Cl.Cl.NCc1cncc(F)c1,COc1nc(C)ccc1CN,COc1nc(C)ccc1CNc1nc(NCc2cncc(F)c2)nc(Nc2ccc(C#N)cc2C(=O)N[Dy])n1,sEH,0
188055951,O=C(Nc1ccc(C(=O)O)cc1)OCC1c2ccccc2-c2ccccc21,Cl.NCc1nc2cc(F)ccc2o1,Cc1ccsc1CN,Cc1ccsc1CNc1nc(NCc2nc3cc(F)ccc3o2)nc(Nc2ccc(C(=O)N[Dy])cc2)n1,BRD4,0
212410951,O=C(Nc1cccc(Cl)c1C(=O)O)OCC1c2ccccc2-c2ccccc21,Nc1ncc(-c2ccccc2)s1,Cl.Cn1cc(N)ccc1=O,Cn1cc(Nc2nc(Nc3ncc(-c4ccccc4)s3)nc(Nc3cccc(Cl)c3C(=O)N[Dy])n2)ccc1=O,HSA,0
280078843,O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21,CC1CN(S(=O)(=O)CCN)CC(C)O1,Cc1nc(Cl)c(N)c(Cl)n1,Cc1nc(Cl)c(Nc2nc(NCCS(=O)(=O)N3CC(C)OC(C)C3)nc(N3CCC[C@H]3C(=O)N[Dy])n2)c(Cl)n1,HSA,1
292949342,O=C(O)[C@H]1C[C@H](O)CN1C(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc2cnccc2c1,COC(=O)c1nc(N)sc1Br,COC(=O)c1nc(Nc2nc(Nc3ccc4cnccc4c3)nc(N3C[C@@H](O)C[C@@H]3C(=O)N[Dy])n2)sc1Br,sEH,1
247608403,O=C(O)C[C@@H](Cc1ccc(Cl)cc1Cl)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1ncc(N)cn1,Cl.Nc1cc(O)ccn1,COc1ncc(Nc2nc(Nc3cc(O)ccn3)nc(N[C@@H](CC(=O)N[Dy])Cc3ccc(Cl)cc3Cl)n2)cn1,HSA,1
104205633,O=C(N[C@@H](Cc1cccnc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,N#Cc1ccc(N)cc1,CC(CN)Cn1cccn1,CC(CNc1nc(Nc2ccc(C#N)cc2)nc(N[C@@H](Cc2cccnc2)C(=O)N[Dy])n1)Cn1cccn1,BRD4,0
49005562,Cc1cc(Br)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1,Nc1ncccc1C=O,Cl.NCCC(=O)NCc1ccccc1,Cc1cc(Br)c(Nc2nc(NCCC(=O)NCc3ccccc3)nc(Nc3ncccc3C=O)n2)c(C(=O)N[Dy])c1,HSA,1
41870553,CS(=O)(=O)c1ccc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c1,Cl.Cl.NCC=Cc1cccnc1,N#Cc1c[nH]nc1N,CS(=O)(=O)c1ccc(C(=O)N[Dy])c(Nc2nc(NCC=Cc3cccnc3)nc(Nc3n[nH]cc3C#N)n2)c1,BRD4,0
243464632,O=C(O)C[C@@H](Cc1ccc(Br)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCc1nc2cnccc2s1,Nc1nnn[nH]1,O=C(C[C@@H](Cc1ccc(Br)cc1)Nc1nc(NCc2nc3cnccc3s2)nc(Nc2nnn[nH]2)n1)N[Dy],HSA,1
229716999,O=C(Nc1ncc(Br)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(N2CCOCC2)cc1,Nc1ccnc(Cl)n1,O=C(N[Dy])c1cc(Br)cnc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)nc(Nc2ccnc(Cl)n2)n1,BRD4,1
273546279,O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(F)cc1,CCC(C)(O)CCN,CCC(C)(O)CCN,CCC(C)(O)CCNc1nc(NCCC(C)(O)CC)nc(N[C@@H](CC(=O)N[Dy])c2ccc(F)cc2)n1,BRD4,1
284573307,O=C(O)[C@@H]1Cc2ccc(O)cc2CN1C(=O)OCC1c2ccccc2-c2ccccc21,COCC1(CN)CCCCC1,Cl.Cl.NCc1nccc2[nH]ccc12,COCC1(CNc2nc(NCc3nccc4[nH]ccc34)nc(N3Cc4cc(O)ccc4C[C@H]3C(=O)N[Dy])n2)CCCCC1,BRD4,0
14834029,CC(C)(C)OC(=O)N1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1C(=O)O,Cl.NCc1nnc2c(=O)[nH]ccn12,N#Cc1nc[nH]c1N,CC(C)(C)OC(=O)N1CCN(c2nc(NCc3nnc4c(=O)[nH]ccn34)nc(Nc3[nH]cnc3C#N)n2)C1C(=O)N[Dy],HSA,1
66837711,N#Cc1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1,Cc1cc(N)nnc1Cl,NCC1CN2CCN1CC2,Cc1cc(Nc2nc(NCC3CN4CCN3CC4)nc(N[C@@H](Cc3ccc(C#N)cc3)C(=O)N[Dy])n2)nnc1Cl,BRD4,1
187437651,O=C(Nc1ccc(C(=O)O)cc1)OCC1c2ccccc2-c2ccccc21,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Nc1cc(Cl)c(F)c(Cl)c1,CC(C)Cn1cnc2c(Nc3nc(Nc4ccc(C(=O)N[Dy])cc4)nc(Nc4cc(Cl)c(F)c(Cl)c4)n3)nc3ccccc3c21,BRD4,1
256497079,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(C(F)(F)F)cc1,Cl.Cl.NCC=Cc1cccnc1,Nc1ccc2c(c1)C(=O)CCC2,O=C(C[C@@H](Nc1nc(NCC=Cc2cccnc2)nc(Nc2ccc3c(c2)C(=O)CCC3)n1)c1ccc(C(F)(F)F)cc1)N[Dy],HSA,0
236492313,O=C(O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(Br)cc1,CC1(CN)CCC2(CC1)OCCO2,Cc1cc2cc(CN)ccc2[nH]1,Cc1cc2cc(CNc3nc(NCC4(C)CCC5(CC4)OCCO5)nc(NC(CC(=O)N[Dy])c4ccc(Br)cc4)n3)ccc2[nH]1,BRD4,0
237214375,O=C(O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(Br)cc1,NCc1c[nH]c2ccccc12,COC(=O)c1ccc2nc(N)sc2c1,COC(=O)c1ccc2nc(Nc3nc(NCc4c[nH]c5ccccc45)nc(NC(CC(=O)N[Dy])c4ccc(Br)cc4)n3)sc2c1,HSA,1
17332861,CC(C)(C)OCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Nc1nc2ccc(Cl)cc2s1,CC(C)(C)OCC(Nc1nc(Nc2nc3ccc(Cl)cc3s2)nc(Nc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)n1)C(=O)N[Dy],HSA,1
271270825,O=C(O)C[C@H](Cc1ccc(I)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ncncc1Br,Nc1cccc2ocnc12,O=C(C[C@H](Cc1ccc(I)cc1)Nc1nc(Nc2ncncc2Br)nc(Nc2cccc3ocnc23)n1)N[Dy],HSA,1
104274823,O=C(N[C@@H](Cc1cccnc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,NCCN1CCC2(C1)OCCO2,Nc1n[nH]c2cc(F)ccc12,O=C(N[Dy])[C@H](Cc1cccnc1)Nc1nc(NCCN2CCC3(C2)OCCO3)nc(Nc2n[nH]c3cc(F)ccc23)n1,HSA,1
278468335,O=C(O)Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,Cl.NCc1cnc2n1CCOC2,C=CCOCCN,C=CCOCCNc1nc(NCc2cnc3n2CCOC3)nc(Nc2ccc(CC(=O)N[Dy])cc2)n1,HSA,0
158515339,O=C(Nc1cc(Br)c(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21,Cl.NCC(=O)NCc1ccncc1,Cl.NCC(=O)NCc1ccncc1,O=C(CNc1nc(NCC(=O)NCc2ccncc2)nc(Nc2cc(Br)c(F)cc2C(=O)N[Dy])n1)NCc1ccncc1,HSA,1
13872574,CC(C)(C)OC(=O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,NCc1c[nH]c2ccccc12,Nc1nc(Cl)c2[nH]cnc2n1,CC(C)(C)OC(=O)CCC(Nc1nc(NCc2c[nH]c3ccccc23)nc(Nc2nc(Cl)c3[nH]cnc3n2)n1)C(=O)N[Dy],HSA,1
80797749,O=C(NC1(C(=O)O)CCc2ccccc21)OCC1c2ccccc2-c2ccccc21,COC(=O)c1cc(N)ccc1C,Nc1nnn[nH]1,COC(=O)c1cc(Nc2nc(Nc3nnn[nH]3)nc(NC3(C(=O)N[Dy])CCc4ccccc43)n2)ccc1C,BRD4,1
264756025,O=C(O)C[C@H](Cc1ccc(Br)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCSCCN,Cl.NCC1CCN(c2ccc(Br)cc2)C1,C=CCSCCNc1nc(NCC2CCN(c3ccc(Br)cc3)C2)nc(N[C@H](CC(=O)N[Dy])Cc2ccc(Br)cc2)n1,HSA,1
202051339,O=C(Nc1ccc(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCc1ccc(O)c2ncccc12,NCc1cccc(N2CCOCC2)c1,O=C(N[Dy])c1cc(F)ccc1Nc1nc(NCc2cccc(N3CCOCC3)c2)nc(NCc2ccc(O)c3ncccc23)n1,HSA,0
245978884,O=C(O)C[C@@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cc(Cl)c(F)c(Cl)c1,Cn1nccc1N,Cn1nccc1Nc1nc(Nc2cc(Cl)c(F)c(Cl)c2)nc(N[C@@H](CC(=O)N[Dy])Cc2ccc(Cl)c(Cl)c2)n1,HSA,1
106436346,O=C(N[C@@H](Cc1cccs1)C(=O)O)OCC1c2ccccc2-c2ccccc21,NCCC1CCOC1,Cc1cc2cc(CN)ccc2[nH]1,Cc1cc2cc(CNc3nc(NCCC4CCOC4)nc(N[C@@H](Cc4cccs4)C(=O)N[Dy])n3)ccc2[nH]1,BRD4,0
97747419,O=C(N[C@@H](Cc1ccc(F)c(F)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21,NC[C@@H]1CCC(=O)N1,Cl.NCC1CC2(C1)CC2(F)F,O=C1CC[C@@H](CNc2nc(NCC3CC4(C3)CC4(F)F)nc(N[C@@H](Cc3ccc(F)c(F)c3)C(=O)N[Dy])n2)N1,BRD4,1
259675107,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1cccc([N+](=O)[O-])c1,Cc1cc(O)ccc1N,Cc1cccc(CCCN)n1,Cc1cccc(CCCNc2nc(Nc3ccc(O)cc3C)nc(N[C@H](CC(=O)N[Dy])c3cccc([N+](=O)[O-])c3)n2)n1,BRD4,1
277290806,O=C(O)C[C@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCC1CC2CC1C1CC21,Nc1ccc(N2CCC=C(N3CCOCC3)C2=O)cc1,O=C(C[C@H]1Cc2ccccc2CN1c1nc(NCC2CC3CC2C2CC32)nc(Nc2ccc(N3CCC=C(N4CCOCC4)C3=O)cc2)n1)N[Dy],sEH,1
182193264,O=C(Nc1ccc(C(=O)O)c(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21,COc1cc(N)ccn1,Cc1ccsc1CN,COc1cc(Nc2nc(NCc3sccc3C)nc(Nc3ccc(C(=O)N[Dy])c(C(=O)O)c3)n2)ccn1,BRD4,1
209976990,O=C(Nc1cccc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21,NCc1c(F)cccc1N1CCCC1,COCc1ccccc1CN,COCc1ccccc1CNc1nc(NCc2c(F)cccc2N2CCCC2)nc(Nc2cccc(C(=O)N[Dy])c2)n1,BRD4,1
272713693,O=C(O)C[C@H](Cc1cccs1)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cc(C)c(N)c([N+](=O)[O-])c1,Nc1nc(Cl)c2[nH]cnc2n1,Cc1cc(C)c(Nc2nc(Nc3nc(Cl)c4[nH]cnc4n3)nc(N[C@H](CC(=O)N[Dy])Cc3cccs3)n2)c([N+](=O)[O-])c1,HSA,1
250619818,O=C(O)C[C@@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)CCS(C)(=O)=O.Cl,Cl.NCc1nnc2ncccn12,CC(C)(CCS(C)(=O)=O)CNc1nc(NCc2nnc3ncccn23)nc(N[C@@H](CC(=O)N[Dy])Cc2ccc([N+](=O)[O-])cc2)n1,HSA,0
127738752,O=C(N[C@H](Cc1csc2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21,COc1ccc(OC)c(N)c1,COc1ncc(N)cc1C(F)(F)F,COc1ccc(OC)c(Nc2nc(Nc3cnc(OC)c(C(F)(F)F)c3)nc(N[C@H](Cc3csc4ccccc34)C(=O)N[Dy])n2)c1,BRD4,1
42516922,CSc1ncc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)n1,CC(C)(C)NS(=O)(=O)c1cccc(N)c1,N#Cc1ccsc1N,CSc1ncc(Nc2nc(Nc3cccc(S(=O)(=O)NC(C)(C)C)c3)nc(Nc3sccc3C#N)n2)c(C(=O)N[Dy])n1,HSA,1
